URI,prefLabel,Definition,Source,
http://resource.geosciml.org/classifier/cgi/vocabularyrelation/broader_generic_relation,Broader generic relation,"This relationship identifies the link between a source class term and target members or species. This type of relationship is often called 'IsA'. A simple way to apply the test for validity described above is to formulate the statement '[narrower term] is a [broader term].' This relationship is also amenable to a logical \all-and-some\ test. An example that passes this test is that some members of the class succulent plants are known as cacti and that all cacti, by definition and regardless of context, are succulent plants. An example that fails the test is that some members of the class 'desert plants' are known as 'cacti', some, but not all, 'cacti' are 'desert plants'. These terms should therefore be assigned to different hierarchies in the controlled vocabulary, and both terms should be assigned to the same content object when indexing a work on \cacti as desert plants..\ Inverse relationship 'narrower generic term' is not included in this ","National Information Standards Organization (NISO), 2005, Guidelines for the construction, format, and management of monolingual controlled vocabularies: ANSI/NISO Z39.19-2005, Bethesda Md., NISO Press, 184 pages, ISBN: 1-880124-65-3. (accessed at http://www.niso.org/standards/resources/Z39-19-2005.pdf, 6/19/06)",
http://resource.geosciml.org/classifier/cgi/vocabularyrelation/broader_term,Broader term,"link from a source term to a superordinate (more general or parent) target term. General hierarchical relationship, more specific subtype relationships (generic, instance, and whole-part) should be used whenever possible.","National Information Standards Organization (NISO), 2005, Guidelines for the construction, format, and management of monolingual controlled vocabularies: ANSI/NISO Z39.19-2005, Bethesda Md., NISO Press, 184 pages, ISBN: 1-880124-65-3. (accessed at http://www.niso.org/standards/resources/Z39-19-2005.pdf, 6/19/06)",
http://resource.geosciml.org/classifier/cgi/vocabularyrelation/during,During,Beginning and end of source interval are both after the beginning of the target interval and before the end of the target interval.,"Allen and Ferguson, 1994",
http://resource.geosciml.org/classifier/cgi/vocabularyrelation/instance_of,Instance of,"This relationship identifies the link between an individual instance of a category, often a proper name, and a term for a general category of things or events, expressed by a common noun. This type of relationship is also known as an 'IsA' relationship. Example: Alps/mountain regions In the above example, the Alps are assigned to subordinate positions in a hierarchy, yet they are neither kinds nor parts of mountain regions, but represent specific examples or instances.","National Information Standards Organization (NISO), 2005, Guidelines for the construction, format, and management of monolingual controlled vocabularies: ANSI/NISO Z39.19-2005, Bethesda Md., NISO Press, 184 pages, ISBN: 1-880124-65-3. (accessed at http://www.niso.org/standards/resources/Z39-19-2005.pdf, 6/19/06)",
http://resource.geosciml.org/classifier/cgi/vocabularyrelation/interval_finishes,Interval finishes,"Source and target interval share same ending instant (moment in Allen and Ferguson, 1994 terms), and target interval beginning is before source interval beginning.","Allen and Ferguson, 1994",
http://resource.geosciml.org/classifier/cgi/vocabularyrelation/interval_starts,Interval starts,"Source and target intervals have same starting instant (moment in Allen and Ferguson, 1994 terms), and end of target interval is after end of source interval.","Allen and Ferguson, 1994",
http://resource.geosciml.org/classifier/cgi/vocabularyrelation/lexical_variant,Lexical variant,"Lexical variants differ from synonyms in that synonyms are different terms for the same concept, while lexical variants are different word forms for the same expression. These forms may derive from spelling or grammatical variation or from abbreviated formats. E.g. radar antennas / antennas, radar, Romania / Rumania / Roumania, ground water / ground-water / groundwater, online / on-line pediatrics / paediatrics","National Information Standards Organization (NISO), 2005, Guidelines for the construction, format, and management of monolingual controlled vocabularies: ANSI/NISO Z39.19-2005, Bethesda Md., NISO Press, 184 pages, ISBN: 1-880124-65-3. (accessed at http://www.niso.org/standards/resources/Z39-19-2005.pdf, 6/19/06)",
http://resource.geosciml.org/classifier/cgi/vocabularyrelation/most_specific_subsuming_term,Most specific subsuming term,"First role is term, second role is most specific subsuming term. Special case of 'broader term' thesaurus relationship.",This vocabulary,
http://resource.geosciml.org/classifier/cgi/vocabularyrelation/near_synonym,Near synonym,"\Near-synonyms are terms whose meanings are generally regarded as different, but which are treated as equivalents for the purposes of a controlled vocabulary. The extent to which terms are treated as near-synonyms depends in large measure upon the domain covered by the controlled vocabulary and its size. Near-synonyms may include antonyms or represent points on a continuum. Examples: sea water / salt water [variant terms] meteors / meteorites / meteoroids [points on a continuum] smoothness / roughness [antonyms] For each of these sets of near synonyms, a vocabulary developer might decide to designate one of the terms as the preferred term with the understanding that it will retrieve all content described by the other terms as well. As a general rule, terms should be treated as near-synonyms only in subject areas that are peripheral to the domain of the controlled vocabulary. When concepts can be distinguished in the controlled vocabulary domain with sufficient precision to justify their representation as separate terms, they should be individually defined and retained. If two concepts cannot be consistently and reliably differentiated from each otherhowever, a term for one concept should be selected as the preferred term and a USE reference made from the other. ",,"National Information Standards Organization (NISO), 2005, Guidelines for the construction, format, and management of monolingual controlled vocabularies: ANSI/NISO Z39.19-2005, Bethesda Md., NISO Press, 184 pages, ISBN: 1-880124-65-3. (accessed at http://www.niso.org/standards/resources/Z39-19-2005.pdf, 6/19/06)"
http://resource.geosciml.org/classifier/cgi/vocabularyrelation/part_of,Part of,"This relationship covers situations in which one concept (source) is inherently included in another (target), regardless of context, so that the terms can be organized into logical hierarchies, with the whole treated as a broader term. This relationship can be applied to several types of term, the three types enumerated below are not intended to be exhaustive. For time interval concepts (ordinal eras) (Allen and Ferguson, 1994), this relationship subsumes ‘During’, ‘Interval starts’, and ‘Interval finishes’. Examples: brain/central nervous system/nervous system, Ottawa/Ontario/Canada, regiment/battalion/military division/army, Cambrian/Paleozoic/Phanerozoic.","National Information Standards Organization (NISO), 2005, Guidelines for the construction, format, and management of monolingual controlled vocabularies: ANSI/NISO Z39.19-2005, Bethesda Md., NISO Press, 184 pages, ISBN: 1-880124-65-3. (accessed at http://www.niso.org/standards/resources/Z39-19-2005.pdf, 6/19/06), Allen and Ferguson, 1994.",
