URI,prefLabel,Definition,Source
http://resource.geosciml.org/classifier/cgi/compositioncategory/argillic,Argillic,Greater than accessory amount (greater than 5 percent by volume) of clay is present,This vocabulary
http://resource.geosciml.org/classifier/cgi/compositioncategory/arkosic_detrital_mode,Arkosic detrital mode,"Sandstone petrographic composition term indicating that detrital mode for clastic rock (Q-F-L) includes less than 75 percent quartz and the feldspar to lithic ratio is greater than 3 to 1. This corresponds to the arkose field of Folk (1968). For clastic rocks with little or no matrix and cement, rocks in this detrital mode composition category will also have quartz-feldspathic mineralogical composition.",Folk1968
http://resource.geosciml.org/classifier/cgi/compositioncategory/asphaltic,Asphaltic,"Material contains a significant amount of asphalt, which is a 'dark brown to black viscous liquid or low-melting solid bitumen that consists almost entirely of carbon and hydrogen...[and] formed in oil-bearing rocks by the evaporation of volatiles...' (Jackson, 1997, p. 39).",Jackson 1997
http://resource.geosciml.org/classifier/cgi/compositioncategory/barium_bearing_carbonate_chemistry,Barium-bearing carbonate chemistry,"CO3 is the predominant anion, and greater than 5 mole percent of cations are Ba.",This vocabulary
http://resource.geosciml.org/classifier/cgi/compositioncategory/bioclastic,Bioclastic,Carbonate sedimentary material contains significant broken skeletal material,This vocabulary
http://resource.geosciml.org/classifier/cgi/compositioncategory/calcareous,Calcareous,"Calcium carbonate minerals are present, carbonate minerals form less than 50 percent of rock, material contains sufficient CaCO3 to react forming bubbles when hydrochloric acid is applied.",NADM SLTTm 2004
http://resource.geosciml.org/classifier/cgi/compositioncategory/calcareous_monomeralic_carbonate,Calcareous monomeralic carbonate,"Carbonate minerals form greater than 75 percent of rock, and calcium carbonate minerals forms greater than 75 percent of carbonate minerals.",NADM SLTTm 2004
http://resource.geosciml.org/classifier/cgi/compositioncategory/calcium_rich_carbonate_chemistry,"CO3 is the predominante anion, and the Ca is the most abundant (mole percent) cation.",Calcium-rich carbonate chemistry,"Struik etal 2002, This vocabulary"
http://resource.geosciml.org/classifier/cgi/compositioncategory/calcsilicate,Calcsilicate,Material consists of greater than or equal to 50 percent calcsilicate or carbonate minerals and carbonate minerals less than or equal to calcsilicate minerals in mineral mode.,NADM SLTTm 2004
http://resource.geosciml.org/classifier/cgi/compositioncategory/calcsilicate_bearing,Calcsilicate-bearing,"Calcsilicate minerals of any sort are present, but less than 50 percent of rock",This vocabulary
http://resource.geosciml.org/classifier/cgi/compositioncategory/carbonaceous,Carbonaceous,"Material containing significant carbon or hydrocarbon mineral phases, including graphite, coal, oil, gas, lignite, peat.",This vocabulary
http://resource.geosciml.org/classifier/cgi/compositioncategory/carbonaceous_chemistry,Carbonaceous chemistry,"Containing greater than 5 percent reduced carbon in compounds that are typically the diagenetic products of dead organisms (e.g. coal, bitumen and petroleum). 5 percent value is chosen for consistency with SLTTs usage of term carbonaceous.","Struik2002, SLTTs2004, This vocabulary"
http://resource.geosciml.org/classifier/cgi/compositioncategory/carbonate,Carbonate,"Material consists of greater than 50 percent calcsilicate or carbonate minerals and carbonate minerals greater than calcsilicate minerals in mineral mode. Metacarbonate of NADMSC SLTTm (2004) terminology, adopted here for non-genetic use.",NADM SLTTm 2004
http://resource.geosciml.org/classifier/cgi/compositioncategory/carbonate_bearing,Carbonate bearing,"Carbonate minerals of any sort are present, but less than 50 percent of rock.",This vocabulary
http://resource.geosciml.org/classifier/cgi/compositioncategory/carbonate_chemistry,Carbonate chemistry,"The carbonate (CO3) anion is the predominant anion (by mole percent) in chemical analysis. Sub-categories may be defined by dominant cation. Material in this chemical class overlaps with the monomineralic carbonate class, and probably overlaps with the Carbonate class in the mineralogical composition classification.","Struik etal 2002, This vocabulary"
http://resource.geosciml.org/classifier/cgi/compositioncategory/chloride_chemistry,Chloride chemistry,Chloride is the most abundant (mole percent) anion,"Struik etal 2002, This vocabulary"
http://resource.geosciml.org/classifier/cgi/compositioncategory/chloritic,Chloritic,Greater than accessory amount (greater than 5 percent by volume) of chlorite group minerals are present,This vocabulary
http://resource.geosciml.org/classifier/cgi/compositioncategory/composition_not_specified,Composition not specified,Composition not specified. Use in normative descriptions where any composition property is allowed.,This vocabulary
http://resource.geosciml.org/classifier/cgi/compositioncategory/dolomite_monomineralic_carbonate,Dolomite monomineralic carbonate,"Carbonate minerals form greater than 75 percent of rock, and dolomite forms greater than 75 percent of carbonate minerals.",NADM SLTTm 2004
http://resource.geosciml.org/classifier/cgi/compositioncategory/dolomitic,Dolomitic,"Dolomite is present, carbonate minerals form less than 50 percent of rock.",This vocabulary
http://resource.geosciml.org/classifier/cgi/compositioncategory/feldspathic,Feldspathic,Sedimentary material contains significant feldspar mineral content,This vocabulary
http://resource.geosciml.org/classifier/cgi/compositioncategory/feldspathic_detrital_mode,Feldspathic detrital mode,"General sandstone petrography term for a sandstone in which the ratio of feldspar to lithic fragments is greater than 1:1 and less than 75 percent quartz is present in the detrital mode. Subsumes lithic arkosic and arkosic sandstone petrographic composition classes. Usage of modifier feldspathic is consistent with petrographic subdivisions of Dott (1964) and Williams, Turner and Gilbert (1982)","Dott1964, Folk1968"
http://resource.geosciml.org/classifier/cgi/compositioncategory/feldspathic_lithic_detrital_mode,Feldspathic lithic detrital mode,"Sandstone petrographic composition term indicating that detrital mode for clastic rock (Q-F-L) includes less than 75 percent quartz and the feldspar to lithic ratio is between 1 to 1 and 1 to 3. This corresponds to the feldspathic litharenite field of Folk (1968). Rocks in this class are likely to be quartzo-feldspathic in terms of mineralogical composition terms in this vocablary, but because the mineralogical composition of the lithic fraction is not constrainged, this correlation is not necessary.",Folk1968
http://resource.geosciml.org/classifier/cgi/compositioncategory/ferromagnesian,Ferromagnesian,Material consists of greater than 40 percent dark ferromagnesian silicate minerals. Standard term defined by Bates and Jackson (1987) to mean 'containing iron and magnesium'. Subsumes mafic and ultramafic.,NADM SLTTm 2004
