URI,prefLabel,Definition,Source,
http://resource.geosciml.org/classifier/cgi/foliationtype/anastomosing_spaced_cleavage,Anastomosing spaced cleavage,"Term from Geological Survey Victoria, Australia","spaced cleavage domains branch and rejoin, creating lens-shaped microlithons.",
http://resource.geosciml.org/classifier/cgi/foliationtype/bedding_fabric,Bedding fabric,">Fabric defined by textural or mineralogic variations in sediment produced by depositional processes. May be manifested by lamination structure within the sediment, or by layering in which the individual layers (beds) are bounded by discontinuities related to events in the depositional history.","SLTTs 2004, this vocabulary",
http://resource.geosciml.org/classifier/cgi/foliationtype/bedding_lamination_structure,Bedding lamination structure,"A surface internal to the containing sediment mass defined by textural or mineralogical variation, produced by sediment deposition process, and reflecting the orientation of the original depositional surface. Syn Laminated structure (SLTTs 2004).",SLTTs 2004,
http://resource.geosciml.org/classifier/cgi/foliationtype/c_fabric,C fabric,"Ductile shear banding foliation defined by spaced, discrete planar zones of high strain less than 1mm thick. Commonly associated with a particle flattening ('S') fabric to form a mylonitic foliation.","Geoscience Victoria, Australia",
http://resource.geosciml.org/classifier/cgi/foliationtype/cleavage,Cleavage,"A tectonic foliation in a rock characterized by a tendency for the rock to split along a regular set of parallel or sub-parallel closely spaced surfaces. Cleavage is a more general term than schistosity because schistosity need not be present in order for a rock to display cleavage. Cleavage domains or parting surfaces are not spaced more than 5 cm apart on average (Borradaille et al., 1982)","Brodie, Kate, Fettes, Douglas, and Harte, Ben, 2007, Structural terms including fault rock terms, in Fettes, D., and Desmons, J., Metamorphic rocks-A classification and Glossary of Terms: Cambridge, UK, Cam-bridge University Press, p. 24-31.",
http://resource.geosciml.org/classifier/cgi/foliationtype/cleavage_parallel_to_bedding,Cleavage parallel to bedding,Composite fabric in which a cleavage is developed parallel to bedding.,this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/close_joints,Close joints,"Foliation defined by parting surfaces (cleavage domains) that have no apparent thickness, are spaced between 5 cm and 25 cm, and do not crenulate an older foliation. Fabric intermediate between typical cleavage and joints. Parting surfaces are regularly spaced, and penetrative on a 1-10 m scale. 5 cm upper limit on spacing of 'cleavage domains' in a 'cleavage 'fabric is suggested by Borradaile et al. [1982].","Borradaile et al. 1982, This Vocabulary",
http://resource.geosciml.org/classifier/cgi/foliationtype/comb_layering,Comb layering,Layering fabric defined by layers that have internal comb structure. Layer boundaries are the termination surfaces for the constituent crystals.,"Neuendorf et al. 2005, this vocabulary",
http://resource.geosciml.org/classifier/cgi/foliationtype/compositional_layering,Compositional layering,Layering fabric defined by layers that have different mineralogic composition.,"this vocabulary, submitted by British Antarctic Survey",
http://resource.geosciml.org/classifier/cgi/foliationtype/compound_folation,Compound folation,"Foliation that includes fabric elements indicating classification with foliation types of different genetic origin, e.g. cleavage parallel to bedding is a compound fabric with a sedimentary foliation and a tectonic foliation. No connotation of genetic origin of fabric elements.",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/compound_metamorphic_foliation,Compound metamorphic foliation,A compound foliation in which the constituent fabric elements are of metamorphic origin.,this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/continuous_cleavage,Continuous cleavage,A cleavage that is statistically homogeneous down to the scale of individual mineral grains.,Borradaile et al 1982,
http://resource.geosciml.org/classifier/cgi/foliationtype/continuous_crenulation_cleavage,Continuous crenulation cleavage,"Cleavage defined by long, thin limbs of crenulation folds of pre-existing foliation, in which the boundaries between cleavage domains and lithons are gradational. Both the crenulation foliation and the crenulated (older) foliation are easily visible. Grades to spaced crenulation cleavage as boundaries of cleavage domains become sharp, and to schistosity or compositional layering as the crenulation foliation obscures the crenulated foliation to become the dominant fabric in the rock. In many rocks with continuous crenulation cleavage, the tendency to part along the cleavage may be weak, thus the rock may not technically meet the definition of 'cleavage as used in this vocabulary.",Borradaile et al 1982,
http://resource.geosciml.org/classifier/cgi/foliationtype/crenulation_cleavage,Crenulation cleavage,"Cleavage that is overprinted on an older foliation that is folded to some degree in association with development of the younger cleavage. Cleavage domains commonly associated with long limbs of crenulation folds, and hinge surfaces of folds are roughly parallel. Wavelength of crenulation folds is less than or equal to 1 cm. Cleavage defined by limbs of microfolds coincident with zones of mineral differentiation","Brodie, Kate, Fettes, Douglas, and Harte, Ben, 2007, Structural terms including fault rock terms, in Fettes, D., and Desmons, J., Metamorphic rocks-A classification and Glossary of Terms: Cambridge, UK, Cam-bridge University Press, p. 24-31.",
http://resource.geosciml.org/classifier/cgi/foliationtype/crude_or_indistinct_bedding,Crude or indistinct bedding,"Bedding defined by surfaces that are not distinct, e.g. by gradational grain size variations.",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/cryptomicrobial_lamination,Cryptomicrobial lamination,Fabric defined by fine laminae formed by the trapping of grains and lime precipitation in a microbial mat.,"GGIPAC, http://www.brs.gov.au/land&water/groundwater/result.internal_stratification.html",
http://resource.geosciml.org/classifier/cgi/foliationtype/cumulate_layering,Cumulate layering,Layering in igneous rocks in which layers are characterized by variation in relative proportion of magmatically crystallized minerals. Typically a pattern of mineralogical variation will be repeated many times in a vertical section with layers of relatively consistent thickness. See photos in Best [1982] p. 176-177. Gravity-stratified layers typically have mafic minerals at the base and plagioclase at the top and are interpreted to form by crystal settling in magma.,"Carmichael et al 1974, Best 1982",
http://resource.geosciml.org/classifier/cgi/foliationtype/discrete_cleavage,Discrete cleavage,Spaced cleavage in which cleavage domains have sharply defined edges.,"Borradaile et al., 1982",
http://resource.geosciml.org/classifier/cgi/foliationtype/discrete_crenulation_cleavage,Discrete crenulation cleavage,Crenulation cleavage in which the cleavage domains have discrete boundaries. Amplitude of crenulation folds tends to be small.,Borradaile et al 1982,
http://resource.geosciml.org/classifier/cgi/foliationtype/discrete_disjunct_spaced_cleavage,Discrete disjunct spaced cleavage,"Disjunct spaced cleavage defined by discrete cleavage surfaces, typically in low-grade clastic rocks. Syn. Fracture cleavage.","Neuendorf et al. 2005, Borradaile et al. 1982.",
http://resource.geosciml.org/classifier/cgi/foliationtype/disjunctive_cleavage,Disjunctive cleavage,"A spaced cleavage independent of any pre-existing mineral orientation, cleavage in which there is no systematic relationship between a pre-existing preferred orientation and the superimposed cleavage. (Borradaile et al., 1982)",Borradaile et al. 1982,
http://resource.geosciml.org/classifier/cgi/foliationtype/domainal_cleavage,Domainal cleavage,Fabric in which domains of more strongly developed (closely spaced) cleavage are separated by lenses of weakly or non-cleaved rock. Typically observed on outcrop scale and used for geologic unit description,this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/ductile_shear_banding_foliation,Ductile shear banding foliation,Foliation defined by regularly spaced ductile shear bands at the scale of descripiton.,"Geoscience Victoria, Australia",
