URI,prefLabel,Definition,Source
http://resource.geosciml.org/classifier/cgi/geneticcategory/anthropogenic_genesis,anthropogenic genesis,Formation predominantly by human activity.,This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/biological_sedimentary_genesis,biological sedimentary genesis,"Formation predominantly by deposition of material produced by living organisms either as part of their body (e.g., exoskeleton, bone, pollen, wood) or through their activities (e.g., faecal pellets).",This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/cataclastic_genesis,cataclastic genesis,"Formation predominantly by brittle deformation, i.e. the formation and growth of fractures and frictional sliding along fracture surfaces.",based on Neuendorf et al 2005
http://resource.geosciml.org/classifier/cgi/geneticcategory/chemical_sedimentary_genesis,chemical sedimentary genesis,"Formation predominantly by direct chemical precipitation (e.g., evaporites, exhalative deposits).",This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/clastic_sedimentary_genesis,clastic sedimentary genesis,"Formation predominantly by accumulation of particles (clasts) derived by weathering, erosion, or fragmentation of pre-existing rock or produced by chemical or biologically-mediated precipitation.",This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/composite_process_genesis,composite process genesis,"Formation in which more than one genetic process is dominant. This usually involves some combination of igneous, weathering, sedimentary, metamorphic, deformation or impact-related processes that better represents the origin of the material",This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/contact_metamorphic_genesis,contact metamorphic genesis,Formation predominantly by metamorphism due to the effect of a magma body on the rocks it intrudes.,"based on Smulikowski et al, 2003"
http://resource.geosciml.org/classifier/cgi/geneticcategory/deformation_genesis,deformation genesis,"Formation predominantly by strain-related processes resulting in changes of shape of a rock body, including folding, faulting, shearing, or fabric development, deformation may be either brittle or ductile. Local deformation metamorphic genesis related to a particular fault or shear zone is categorized as 'Dislocation metamorphic genesis'",This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/diagenetic_genesis,diagenetic genesis,"Formation predominantly by chemical and physical changes subsequent to deposition of sediment, during and after lithification that occur under temperature and pressure conditions too low to be considered metamorphic.",This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/dislocation_metamorphic_genesis,dislocation metamorphic genesis,"Formation predominantly by metamorphism of local extent associated with fault zones or shear zones. 'Dislocation metamorphic genesis' is 'Deformation genesis' of local extent, explicitly associated with a particular fault or shear zone.","based on Smulikowski et al, 2003"
http://resource.geosciml.org/classifier/cgi/geneticcategory/ductile_deformation_genesis,ductile deformation genesis,Formation predominantly by deformation without loss of material continuity at the scale of observation.,This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/hypabyssal_intrusive_genesis,hypabyssal intrusive genesis,"Formed by crystallisation close to the Earth's surface, characterized by more rapid cooling than plutonic setting to produce generally fine-grained intrusive igneous rock, commonly associated with co-magmatic volcanic rocks.",This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/igneous_extrusive_genesis,igneous extrusive genesis,Formation predominantly by crystallisation of magma at or immediately adjacent to Earth's surface.,This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/igneous_genesis,igneous genesis,Formation predominantly by crystallisation from magma,This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/igneous_intrusive_genesis,igneous intrusive genesis,Formation predominantly by crystallisation of magma within the Earth.,This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/igneous_sedimentary_genesis,igneous sedimentary genesis,Formation by a combination of igneous and sedimentary processes,This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/impact_genesis,impact genesis,"Formation predominantly by metamorphism related to the passage of a shock wave through a body of material, typically the result of impact of a planetary body (impactor) on a planetary surface (target)","Smulikowski et al, 2003"
http://resource.geosciml.org/classifier/cgi/geneticcategory/local_metamorphic_genesis,local metamorphic genesis,"Formation predominantly by metamorphism that may be attributed to a localized cause, such as magmatic intrusion, faulting, metorite impact, combustion of naturally occuring substances (coal), or lightning.","Smulikowski et al, 2003"
http://resource.geosciml.org/classifier/cgi/geneticcategory/metaigneous_genesis,metaigneous genesis,Formation by metamorphism of an igneous protolith,This vocabulary
http://resource.geosciml.org/classifier/cgi/geneticcategory/metamorphic_genesis,metamorphic genesis,"Formation predominantly by closed-system changes in mineralogy, texture, or fabric of a rock in response to chemical and physical conditions that have been imposed below the surface zones of weathering and cementation (diagenesis), and that differ from the conditions under which the rocks in question originated. As defined here the changes in rock volume may include removal of some chemical constituents from the system (especially water and other volatile constituents). Note narrower use that Neuendorf et al. 2005, this vocabulary distinguishes metasomatism from metamorphism.",based on Neuendorf et al. 2005
