URI,prefLabel,Definition,Source
http://resource.geosciml.org/classifier/cgi/metamorphicgrade/high_metamorphic_grade,High metamorphic grade,"Protolith structures almost always obliterated, evidence of partial melting common. Includes rocks metamorphosed in high-temperature amphibolite, pyroxene hornfels, and medium to high-temperature eclogite facies. Mineral assemblages according to Fry (1984) Table 10-1: ultramafic-olivine, anthophyllite, cummingtonite, enstatite, mafic-hornblende, (diopside, garnet), calc-aluminous basic-plagioclase, pelite, semi-pelite -- K-feldspar, biotite, quartz, Al-minerals (garnet), migmatite.","Smulikowski et al, 2003, Fry, 1984"
http://resource.geosciml.org/classifier/cgi/metamorphicgrade/low_metamorphic_grade,Low metamorphic grade,"Metamorphic effects clearly visible, protolith structures typically still observable, includes rocks metamorphosed in greenschisthigh-temperature blueschist, very low temperature eclogite facies. Mineral assemblages according to Fry (1984) Table 10-1: ultramafic-serpentine (talc, magnesite), mafic-chlorite, actinolite (garnet), calc-aluminous basic-albite, epidote, pelite, semi-pelite -- white mica, chlorite, quartz, biotite (garnet, Al-minerals).","Smulikowski et al, 2003, Fry, 1984"
http://resource.geosciml.org/classifier/cgi/metamorphicgrade/medium_metamorphic_grade,Medium metamorphic grade,"Protolith structure typically obliterated. Includes rocks metamorphosed in high-temperature epidote-amphibolite, low-temperature amphibolite, and low temperature eclogite facies. Mineral assemblages according to Fry (1984) Table 10-1: ultramafic-olivine, talc (magnesite, anthophyllite), mafic-hornblende, (diopside, garnet), calc-aluminous basic-plagioclase, pelite, semi-pelite -- white mica, biotite, quartz (garnet, Al-minerals).","Smulikowski et al, 2003, Fry, 1984"
http://resource.geosciml.org/classifier/cgi/metamorphicgrade/metamorphic_grade_not_specified,Metamorphic grade not specified,for use in normative descriptions to explicitly indicate that any metamorphic condition is allowed (including non-metamorphosed).,This Vocabulary
http://resource.geosciml.org/classifier/cgi/metamorphicgrade/metamorphic_grade_unknown,Metamorphic grade unknown,For use in instance descriptions to indicate that no information is available on metamorphic grade,This Vocabulary
http://resource.geosciml.org/classifier/cgi/metamorphicgrade/metamorphosed_grade_not_specified,Metamorphosed grade not specified,"Rock is metamorphosed, may have any value for metamorphic grade.",This Vocabulary
http://resource.geosciml.org/classifier/cgi/metamorphicgrade/not_metamorphosed,Not metamorphosed,Rock or sediment not metamorphosed.,This Vocabulary
http://resource.geosciml.org/classifier/cgi/metamorphicgrade/very_high_metamorphic_grade,Very high metamorphic grade,"Protolith structures almost always obliterated. Includes rocks metamorphosed in granulite (or sanidinite), and high-temperature eclogite facies. Mineral assemblages according to Fry (1984) Table 10-1: ultramafic-olivine, enstatite, mafic-hypersthene, diopside (hornblende), calc-aluminous basic-plagioclase, pelite, semi-pelite -- hypersthene + Al-minerals (K-feldspar, quartz), or sapphirine.","Smulikowski et al, 2003, Fry, 1984"
http://resource.geosciml.org/classifier/cgi/metamorphicgrade/very_low_metamorphic_grade,Very low metamorphic grade,"Rock very slightly metamorphosed, protolith structure ubiquitous, mineral assemblage of zeolite facies, subgreenschist facies, or low temperature part of blueschist facies. Mineral assemblages according to Fry (1984) Table 10-1: ultramafic-serpentine (quartz, magnesite), mafic-clay, chlorite, relict igneous minerals, calc-aluminous basic-zeolite, pumpellite, epidote, albite, pelite, semi-pelite -- clays, chlorite, sericite, quartz.","Smulikowski et al, 2003, Fry, 1984"
http://resource.geosciml.org/classifierscheme/cgi/201202/metamorphicgrade,CGI Metamorphic Grade Categories,"This file contains the CGI Metamorphic Grade vocabulary. Vocabulary for populating Metamorphic grade property in GeoSciML metamorphicDescription elements. Derived from Fettes and Desmons, 2007",
