URI	prefLabel	Definition	Source
http://resource.geosciml.org/classifier/cgi/particletype/accidental_pyroclastic_fragment	accidental pyroclastic fragment	"Fragment of rock generated by disruption as a direct result of volcanic action but not formed by previous activity of the magmatic system, generally derived from subvolcanic basement."	Gillespie and Styles 1999
http://resource.geosciml.org/classifier/cgi/particletype/aggregate_non-clastic_particle	aggregate non clastic particle	Generic term for a non-clastic particle that is itself composed of an aggregation of particles.	this vocabulary
http://resource.geosciml.org/classifier/cgi/particletype/amygdule	amygdule	"Cavity filled with secondary minerals, denotes that cavities are filled vesicles, thus restricted to volcanic rock."	based on Neuendorf et al 2005
http://resource.geosciml.org/classifier/cgi/particletype/autoclast	autoclast	"Fragments of extrusive igneous rock formed by mechanical friction of moving lava flow, breakage of chilled lava flow rinds, or gravity crumbling of active spines and domes. Gillespie and Styles (1999) include as type of juvenile pyroclastic fragment, inconsistent with definition of pyroclastic by IUGS and BGS."	"Gillespie and Styles, 1999"
http://resource.geosciml.org/classifier/cgi/particletype/axiolite	axiolite	Elongate to irregular lense with radial aggregates of acicular and fibrous mineral coalescing along a central axis.	"Williams, Turner, Gilbert 1954"
http://resource.geosciml.org/classifier/cgi/particletype/bioclast	bioclast	"Granular sedimentary particle that is a \fragmentary piece of a shell, bone, or other hard skeletal structure of an animal, plant, or protozoan. May be fossilized or non-fossilized\. Use in situations where fossil organism can not be identified, thus 'material fossil' is inappropriate."	NADM SLTTs 2004
http://resource.geosciml.org/classifier/cgi/particletype/biogenic_particle	biogenic particle	"A type of granular particle formed by the physiological activities of organisms (plants, animals, protozoa) that produce body parts which subsequently are incorporated into a sediment aggregate. Contrast with nonbiogenic particle. Includes biogenic objects that are whole or fragmentary (bioclasts), can be fossilized or non-fossilized"	NADM SLTTs 2004
http://resource.geosciml.org/classifier/cgi/particletype/bleb	bleb	Generic term for a small rounded particle of uncertain origin	this vocabulary
http://resource.geosciml.org/classifier/cgi/particletype/cavity	cavity	"Constituent is empty space between particles in a compound material, generally filled with some sort of fluid. Cavity particle types can be used to describe porosity in a granular material."	this vocabulary
http://resource.geosciml.org/classifier/cgi/particletype/coated_particle	coated particle	"A general term for a grain that has coats or layers of foreign material, usually fine mud-sized and occasionally recrystallized, that form concentric or overlapping shells around a core of rock, shell, peloidal, or intraclastic material. (eg: oolith, pisolith)"	NADM SLTTs 2004
http://resource.geosciml.org/classifier/cgi/particletype/cognate_fragments	cognate fragments	Pyroclast consisting of rock which formed during earlier (related) volcanic activity that have been ejected with other pyroclastic debris during a later eruption.	"Base on Gillespie and Styles, 1999"
http://resource.geosciml.org/classifier/cgi/particletype/concretionary_particle	concretionary particle	"A hard, compact mass or aggregate of mineral matter, normally subsperical but commonly oblate, disc-shaped or irregular. Formed by precipitation of mineral from solution in the pores of a granular rock, localized around a nucleus or center, to define a discrete, sharply separated object. Size ranges from cm to meters. Particle geometry description for concretion describes the concretion size and shape, not the size and shape of particles forming the concretion."	"Neuendorf et al, 2005"
http://resource.geosciml.org/classifier/cgi/particletype/coprolite	coprolite	The fossilised excrement of vertebrate animals	"Neuendorf et al., 2005"
http://resource.geosciml.org/classifier/cgi/particletype/crystal_fragment	crystal fragment	A fragment of a crystal interpreted to have been broken by pyroclastic processes.	this vocabulary
http://resource.geosciml.org/classifier/cgi/particletype/crystalline_grain	crystalline grain	"Constituent that is the product of crystallization during formation of a compound Earth material (see NADMC1 2004). Serves to distinguish crystalline from granular rocks (Struik, 2002). Includes constituents crystallized in evaporite environments, during diagenesis or hydrothermal alteration, or in other low-temperature environments."	"Struik, 2002, NADM SLTTs 2004"
http://resource.geosciml.org/classifier/cgi/particletype/crystallite	crystallite	"Constitutent occurs as minute, spherical, rod, or hair-like forms. Typically appear isotropic in thin section."	"Williams, Turner, Gilbert 1954"
http://resource.geosciml.org/classifier/cgi/particletype/epiclast	epiclast	"An individual constituent, grain or fragment of a sediment or rock, produced by erosion of a larger rock mass. Particle whose origin as a fragment is a result of surface (sedimentary, weathering...) processes. 'Crystals, crystal fragments, glass and rock fragments that have been liberated from any type of pre-existing consolidated rock (volcanic or non-volcanic) by weathering or erosion and transported from the site of origin by gravity, air, water, or ice' [Schmid, 1981]. Distinguished from intraclast in that epiclast is derived from a pre-existing rock from outside the basin of deposition (NADM SLTTs 2004) before introduction into a CompoundMaterial (sense of NADMC1, 2004)."	Schmid 1981
http://resource.geosciml.org/classifier/cgi/particletype/fecal_pellet	fecal pellet	"an organic excrement, mainly of invertebrates, occuring especially in modern marine sediments but also fossilised in some sedimentary rocks, usually with simple ovoid form, less commonly rod-shaped."	"Neuendorf et al., 2005"
http://resource.geosciml.org/classifier/cgi/particletype/fenestra	fenestra	"Primary or penecontemporaneous gap or cavity in the framework of a sedimentary rock, larger than grain-supported intersticies. May be open space or have partial to complete fill with secondary cement or introduced sediment."	based on Neuendorf et al 2005
http://resource.geosciml.org/classifier/cgi/particletype/fiamme	fiamme	"Lens-shaped bodies, usually mm to cm thick, and centimeters to 1-2 decimeters long, typically seen on surfaces of some pyroclastic rocks. The name fiamme comes from the Italian word for flames, describing their shape. The term is descriptive and non-genetic.Generally interpreted to form by the collapse of pumice fragments during welding in a hot pyroclastic deposit."	"Neuendorf et al 2005, http://en.wikipedia.org/wiki/Fiamme"
http://resource.geosciml.org/classifier/cgi/particletype/fluid_inclusion	fluid inclusion	"A cavity within a crystal containing liquid and/or gas, formed by the entrapment in crystal irregularities of fluid, commonly that from which the mineral crystallised."	"Neuendorf et al., 2005"
http://resource.geosciml.org/classifier/cgi/particletype/fluidal_pyroclast	fluidal pyroclast	"Pyroclast that has a a rounded, fluidal shape indicating that it was in a wholly or partly molten state during formation and subsequent transport. Concept corresponds to bomb, but with no size denotation."	"Base on Gillespie and Styles, 1999"
http://resource.geosciml.org/classifier/cgi/particletype/glomerocryst	glomerocryst	An aggregate of crystals of the same mineral	"Neuendorf et al., 2005"
http://resource.geosciml.org/classifier/cgi/particletype/granular_particle	granular particle	"Solid constituent in a compound earth material (sense of NADMC1) that is a pre-existing object before incorporation into a particulate aggregate. \...a component of solid material that has the form of grains, clasts, fragments, or whole objects of any size, shape, composition, texture, and structure.\ (NADMSC SLTTs, 2004)"	NADM SLTTs 2004
http://resource.geosciml.org/classifier/cgi/particletype/holoblast	holoblast	A crystalline grain in a metamorphic rock that is newly and completely formed during metamorphism	"Neuendorf et al., 2005"
http://resource.geosciml.org/classifier/cgi/particletype/hydroclast	hydroclast	"Juvenile pyroclastic fragment formed by magma-water interaction during subaqueous or subglacial extrusion, typically consist of chilled glass."	Gillespie and Styles 1999
http://resource.geosciml.org/classifier/cgi/particletype/hydrothermal_vein	hydrothermal vein	"a tabular or sheet-like part of a compound material formed by hydrothermal (or other metasomatic) mineral filling a fracture, may be associated with replacement of the host rock adjacent to the body"	"Neuendorf et al 2005, this vocabulary"
http://resource.geosciml.org/classifier/cgi/particletype/igneous_inclusion	igneous inclusion	"Aggregate non-clastic particle that are of igneous origin. Particle types for compound material are restricted to inclusions that are typically of a size consistent with hand-sample description to characterize a kind of rock or a rock sample, larger inclusion types are included in the GeologicUnitPart role vocabulary."	this vocabulary
http://resource.geosciml.org/classifier/cgi/particletype/igneous_vein	igneous vein	a tabular or sheet like part of a compound material formed by the intrusion of magma	this vocabulary
http://resource.geosciml.org/classifier/cgi/particletype/intraclast	intraclast	"A broad, general term introduced by Folk (1959, p. 4) for a component of limestone, representing a torn-up and re-worked fragment of a penecontemporaneous sediment (usually weakly consolidated) that has been eroded within the basin of deposition...and re-deposited there...The fragment may range in size from fine sand to gravel..."	"NADM SLTTs 2004, Neuendorf et al., 2005, Folk, 1959"
http://resource.geosciml.org/classifier/cgi/particletype/intrusive_sheet	intrusive sheet	"a tabular or sheet-like part of a compound material, genetic origin not specified"	this vocabulary
http://resource.geosciml.org/classifier/cgi/particletype/juvenile_pyroclastic_fragment	juvenile pyroclastic fragment	Fragment formed directly from cooling magma during transport prior to primary deposition.	Gillespie and Styles 1999
http://resource.geosciml.org/classifier/cgi/particletype/lithic_clast	lithic clast	"A clast derived by erosion from older, pre-existing rock materials of any kind, usually beyond the basin of accumulation but occasionally from within the basin of deposition (as from a submarine or subaqueous exposure adjacent to a depositional site). A clast that is identified as a piece of rock."	this vocabulary
http://resource.geosciml.org/classifier/cgi/particletype/lithoclast	lithoclast	"A mechanically formed and deposited fragment of a carbonate rock...derived from an older, lithified limestone or dolomite within, adjacent to, or outside the depositional site"	"Neuendorf et al., 2005, p. 375"
http://resource.geosciml.org/classifier/cgi/particletype/lithophysae	lithophysae	"Bubble-like cavity with concentric shells of finely crystalline minerals, open space remains in core of structure. Radiating fibrous structure may be present in secondary mineral fill. Typically in silicic volcanic rock."	Neuendorf et al 2005
