URI	prefLabel	Definition	Source
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/armoured_relict_crystal	armoured relict crystal	a crystal of an earlier rock that is prevented from further reaction in a later rock by a rim of reaction products	base on Neuendorf et al 2005
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/armoured_relict_inclusion	armoured relict inclusion	an inclusion of an earlier rock that is prevented from further reaction in a later rock by a rim of reaction products	base on Neuendorf et al 2005
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/chadacryst	chadacryst	the enclosed crystal in a poikolitic texture	"Neuendorf et al.,2005"
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/clast_supporting_orthomatrix	clast supporting orthomatrix	Orthomatrix in matrix supported sedimentary rock.	This vocabulary
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/clot	clot	"A cluster of ferromagnesian minerals in an igneous rock,from several centimeters to decimeters in diameter,that may be a segregation or an altered xenolith."	"Neuendorf et al,2005"
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/constituent_role_not_specified	constituent role not specified	For descriptions in which role of constituent in compound material is not specified.	This vocabulary
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/corona	corona	Constituent occurs as a concentric envelope enclosing another constituent. Corona is a non-genetic term.	"Williams,Turner and Gilbert,1954, Spry,1969, Fettes and Desmons,2007"
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/corrosion_rim	corrosion rim	"A corona formed by a secondary mineral around an orginal igneous crystal,formed by modification of the crystal by the corrosive action of its parent magma"	"Neuendorf et al.,2005"
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/crystalline_framework_constituent	crystalline framework constituent	Constituent forms an interconnected network of discernible crystals.	This vocabulary
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/dropstone	dropstone	"An oversized stone in laminated sediment that depresses the underlying laminae and may be covered by -draped laminae. Most dropstones originate through ice-rafting, other sources are floating tree roots and kelp holdfasts..."	"NADM SLTTs 2004, Jackson,1997,p 193"
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/epimatrix	epimatrix	"A type of matrix consisting of inhomogeneous interstitial materials grown in originally open interstices during diagenesis,but lacking the homogeneity and clear textural evidence of pore-filling needed to classify as phyllosilicate cement."	"NADM SLTTs 2004, Dickinson,1970"
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/floating_clast	floating clast	Constituent is a clast that has no visible contacts with other clasts. Interpreted to be largely or completly immersed in matrix or cement.	"Pettijohn et al.,1972,p. 90, SMR"
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/granular_framework_constituent	granular framework constituent	"Constituent forms a rigid arrangement of particles that support one another at their points of contact...constituting a mechanically firm structure capable of supporting open pore spaces,although interstices may be occupied by cement or matrix"	"Jackson,1997,p. 250"
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/groundmass_constituent	groundmass constituent	Constituent forms an interconnected network of material enclosing other constituents that are disguished by larger grain size.	This vocabulary
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/inclusion	inclusion	a fragment of older material within an igneous rock to which it may or may not be genetically related	"Neuendorf et al,2005"
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/interstitial_constituent	interstitial constituent	Constituent is distributed through the material between other constituent particles	This vocabulary
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/irregular_part	irregular part	"A constituent with irregular distribution and geometry,as in pseudobreccia or patch migmatite."	This vocabulary
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/kelyphitic_rim	kelyphitic rim	Corona that consists of concentric bands with radial fibrous texture.	"Williams,Turner and Gilbert,1954, Fettes and Desmons,2007"
http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/layer	layer	"A thin sheet compositionally distinct from the surrounding material,related to primary genesis of rock,e.g. sedimentary layers,metamorphic segregation"	This vocabulary
