URI	prefLabel	Definition	Source
http://resource.geosciml.org/classifier/cgi/eventprocess/accretion	accretion	The addition of material to a continent. Typically involves convergent or transform motion.	"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p."
http://resource.geosciml.org/classifier/cgi/eventprocess/alteration	alteration	General term for any change in the mineralogical or chemical composition of a rock. Typically related to interaction with hydrous fluids.	"Fettes and Desmons, 2007"
http://resource.geosciml.org/classifier/cgi/eventprocess/biological_precipitation	biological precipitation	the deposition of minerals from solution by the agency of organisms	this vocabulary
http://resource.geosciml.org/classifier/cgi/eventprocess/biological_weathering	biological weathering	"breakdown of rocks by biological agents, e.g. the penetrating and expanding force of roots, the presence of moss and lichen causing humic acids to be retained in contact with rock, and the work of animals (worms, moles, rabbits) in modifying surface soil"	"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p."
http://resource.geosciml.org/classifier/cgi/eventprocess/bolide_impact	bolide impact	the impact of an extraterrestrial body on the surface of the earth	this vocabulary
http://resource.geosciml.org/classifier/cgi/eventprocess/chemical_precipitation	chemical precipitation	The deposition of mineral matter by precipitation from solution or as a result of chemical reactions. May be sedimentary or hydrothermal.	"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p."
http://resource.geosciml.org/classifier/cgi/eventprocess/chemical_weathering	chemical weathering	"The process of weathering by which chemical reactions (hydrolysishydration, oxidation, carbonation, ion exchange, and solution) transform rocks and minerals into new chemical combinations that are stable under conditions prevailing at or near the Earth's surface, e.g. the alteration of orthoclase to kaolinite."	"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p."
http://resource.geosciml.org/classifier/cgi/eventprocess/cometary_impact	cometary impact	the impact of a comet on the surface of the earth	this vocabulary
http://resource.geosciml.org/classifier/cgi/eventprocess/contact_metamorphism	contact metamorphism	Metamorphism taking place in rocks at or near their contact with a genetically related body of igneous rock	"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p."
http://resource.geosciml.org/classifier/cgi/eventprocess/continental_breakup	continental breakup	"Fragmentation of a continental plate into two or more smaller plates, may involve rifting or strike slip faulting."	this vocabulary
http://resource.geosciml.org/classifier/cgi/eventprocess/continental_collision	continental collision	The amalgamation of two continental plates or blocks along a convergent margin.	this vocabulary
http://resource.geosciml.org/classifier/cgi/eventprocess/debris_flow_deposition	debris flow deposition	"Laminar high-concentration, generally cohesionless deposition process. Flow types included liquefied flow, fluidized flow, grain flow, traction carpet or modified grain flow."	Postma 1986 Geology v. 14 p291-294
http://resource.geosciml.org/classifier/cgi/eventprocess/deep_water_oxygen_depletion	deep water oxygen depletion	Process of removal of oxygen from from the deep part of a body of water.	this vocabulary
http://resource.geosciml.org/classifier/cgi/eventprocess/deformation	deformation	"Movement of rock bodies by displacement on fault or shear zones, or change in shape of a body of Earth material."	this vocabulary
http://resource.geosciml.org/classifier/cgi/eventprocess/deformation_twinning	deformation twinning	Deformation of a crystal by gliding to produce crystallographic twinning.	"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p."
http://resource.geosciml.org/classifier/cgi/eventprocess/deposition	deposition	"Accumulation of material, the constructive process of accumulation of sedimentary particles, chemical precipitation of mineral matter from solution, or the accumulation of organic material on the death of plants and animals."	"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p."
